,0
osoba,106
24,57
sata,52
slučajeva,50
covid19,50
dana,49
pozitivnih,46
posto,45
tijekom,44
stanovnika,43
100000,42
županiji,41
varaždinskoj,39
županije,38
evidentirano,37
varaždin,37
udio,37
koronavirusom,35
nalazi,35
varaždinske,35
broj,32
zaraze,31
novih,30
kojih,30
novozaraženih,29
