,0
cijepljenje,37
dozom,33
8,25
osobe,22
drugom,21
sati,21
osoba,20
prvom,19
lipnja,17
građane,17
srpnja,16
dana,15
škole,15
pfizera,15
18,15
covid,14
cijepiti,14
gospodarske,14
županije,14
varaždinu,14
županiji,14
covid19,13
kojih,13
varaždinskoj,13
dvorani,12
