,0
cijepljenje,80
varaždin,78
osoba,61
sati,58
13,41
županiji,39
osobe,39
varaždinskoj,39
johnson,39
slučajeva,38
bolnica,35
8,35
bolnici,34
covid,31
koronavirusom,31
kirurgije,30
varaždinske,30
broj,30
općoj,30
zaraze,29
koronavirus,27
respiratoru,26
kojih,26
opća,26
covid19,25
