,0
osoba,104
dana,90
covid19,69
slučajeva,63
tijekom,62
pozitivnih,56
kojih,55
broj,53
sata,50
novozaraženih,49
24,49
županiji,45
evidentirano,45
stanovnika,44
varaždinskoj,43
posto,43
ukupno,42
novih,42
100000,42
zaraze,37
respiratoru,37
osobe,36
varaždin,34
koronavirusom,32
županije,31
