,0
cijepljenje,75
varaždin,66
slučajeva,47
osoba,46
dozom,45
osobe,45
broj,44
sati,38
doza,38
županiji,38
rujna,37
varaždinskoj,35
varaždinske,34
drugom,31
bolnici,31
bolnica,30
općoj,28
1,28
županije,28
koronavirusom,27
zaraze,27
novi,27
koronavirus,26
johnson,26
jučer,26
