,0
varaždinske,20
varaždin,17
osoba,16
županije,14
sati,10
protiv,10
rk,9
danas,9
varaždinu,8
toplice,8
županija,7
godine,7
ppd,7
gdje,7
trnovec,7
12,7
zaštite,7
bartolovečki,7
civilne,7
dani,7
zagreb,6
osobe,6
budimo,6
spremni,6
korona,6
