,0
osoba,105
varaždin,61
varaždinske,53
24,48
županiji,48
dana,47
covid19,47
slučajeva,47
varaždinskoj,47
tijekom,46
sata,45
županije,45
kojih,44
novih,41
pozitivnih,40
zaraze,40
stanovnika,36
broj,36
bolnici,35
posto,35
korona,34
udio,34
100000,33
koronavirusom,33
kuna,32
