,0
osoba,110
zaštite,80
korona,67
stožera,67
civilne,66
varaždinske,60
osobe,60
mjere,59
županije,59
županiji,51
mjera,49
samoizolacije,48
varaždin,47
varaždinskoj,46
zaraze,43
zaraženih,42
broj,40
24,37
ljudi,36
koronavirusom,35
sata,34
rekao,33
virusa,32
ukupno,31
svih,31
