,0
osoba,53
varaždin,25
slučajeva,24
bolnici,23
županiji,22
općoj,22
cijepljenje,20
koronavirus,19
varaždinskoj,18
sati,18
osobe,18
broj,17
13,17
jučer,15
varaždinske,15
županije,15
liječenju,13
veljače,13
kojih,13
zaraze,13
koronavirusom,13
aktivnih,13
1,12
covid19,12
novih,12
